row_id,condition,cond_row_id,matrix,base_idx,param_j,eta,f_cl_i,f_cl_v,E_m_i,E_m_v,E_m_h,L_hat,gamma_s,E_b_v2,lambda,B_111,E_b_i2,E_b_hV_1,Z_i,Z_i_loop,E_a0_conv,dH2_conv,phi_max_junc,dH2_abs_conv
800,C_330_G7,800,L,0,-1,0.24871922678490935,0.07062383319353947,0.47813723050969564,0.40180861951964941,0.59352511293786137,0.073504445612117275,657.5932757528751,2.2179468666938713,0.2128996045588703,0.71570901078164628,0.31368786867246468,0.8749876138717958,2.2131532812533066,1.1498451607160878,1.1813004167750478,2.0892251959746604,0.43945545381703549,0.5083882982906949,0.44055214450764835
801,C_330_G7,801,L,1,-1,0.24871922678490935,0.16370517828518305,0.20692584108341786,0.40180861951964941,0.59352511293786137,0.073504445612117275,389.78010598494296,2.2179468666938713,0.2128996045588703,0.71570901078164628,0.31368786867246468,0.8749876138717958,2.2131532812533066,1.0705181523401688,1.1813004167750478,2.3866096453553753,0.43945545381703549,0.8503438899327114,0.35059316956803743
802,C_330_G7,802,L,2,-1,0.24871922678490935,0.17503330324533461,0.23063058509959863,0.40180861951964941,0.59352511293786137,0.073504445612117275,440.3511433521933,2.2179468666938713,0.2128996045588703,0.71570901078164628,0.31368786867246468,0.8749876138717958,2.2131532812533066,1.1236484756684708,1.1813004167750478,2.059519086349737,0.43945545381703549,0.2480932169606421,0.42178396596263024
803,C_330_G7,803,L,3,-1,0.24871922678490935,0.18637538708060464,0.3358991566000732,0.40180861951964941,0.59352511293786137,0.073504445612117275,627.5918378898368,2.2179468666938713,0.2128996045588703,0.71570901078164628,0.31368786867246468,0.8749876138717958,2.2131532812533066,1.1427213659738493,1.1813004167750478,1.7554544074282221,0.43945545381703549,0.3057627211876762,0.32656515541676484
804,C_330_G7,804,L,4,-1,0.24871922678490935,0.13759045697738365,0.2946235125994907,0.40180861951964941,0.59352511293786137,0.073504445612117275,559.6960513024054,2.2179468666938713,0.2128996045588703,0.71570901078164628,0.31368786867246468,0.8749876138717958,2.2131532812533066,1.0265275966757421,1.1813004167750478,2.0078177573554363,0.43945545381703549,0.694878849981247,0.35759088561795394
805,C_330_G7,805,L,5,-1,0.24871922678490935,0.246002667957613,0.4289972326485282,0.40180861951964941,0.59352511293786137,0.073504445612117275,1211.668303605836,2.2179468666938713,0.2128996045588703,0.71570901078164628,0.31368786867246468,0.8749876138717958,2.2131532812533066,1.1035329813062846,1.1813004167750478,1.8734673889464513,0.43945545381703549,0.2798673349117614,0.3124532228956466
806,C_330_G7,806,L,6,-1,0.24871922678490935,0.14345174974814412,0.6851073370949061,0.40180861951964941,0.59352511293786137,0.073504445612117275,1503.6225383299702,2.2179468666938713,0.2128996045588703,0.71570901078164628,0.31368786867246468,0.8749876138717958,2.2131532812533066,1.1383514762108806,1.1813004167750478,1.824038712984676,0.43945545381703549,0.44748964196106567,0.4126016005743054
807,C_330_G7,807,L,7,-1,0.24871922678490935,0.19229507019609537,0.4264169633131704,0.40180861951964941,0.59352511293786137,0.073504445612117275,1929.6205661493686,2.2179468666938713,0.2128996045588703,0.71570901078164628,0.31368786867246468,0.8749876138717958,2.2131532812533066,1.072792213027411,1.1813004167750478,2.335127494873773,0.43945545381703549,0.88871680830672,0.3868385722349813
808,C_330_G7,808,L,8,-1,0.24871922678490935,0.10099226339049396,0.24931850213790863,0.40180861951964941,0.59352511293786137,0.073504445612117275,1160.0516223426523,2.2179468666938713,0.2128996045588703,0.71570901078164628,0.31368786867246468,0.8749876138717958,2.2131532812533066,1.0358201598542147,1.1813004167750478,2.1085058391569467,0.43945545381703549,0.14805141474596356,0.3680145454240571
809,C_330_G7,809,L,9,-1,0.24871922678490935,0.157003137902828,0.3186686766588308,0.40180861951964941,0.59352511293786137,0.073504445612117275,463.12224799902475,2.2179468666938713,0.2128996045588703,0.71570901078164628,0.31368786867246468,0.8749876138717958,2.2131532812533066,1.084759737026758,1.1813004167750478,2.350291927104875,0.43945545381703549,0.37893096736360554,0.35805197278122636
810,C_330_G7,810,L,10,-1,0.24871922678490935,0.13486924849526627,0.6360853821798611,0.40180861951964941,0.59352511293786137,0.073504445612117275,1259.1518955860201,2.2179468666938713,0.2128996045588703,0.71570901078164628,0.31368786867246468,0.8749876138717958,2.2131532812533066,1.1081651838483095,1.1813004167750478,1.972973208444646,0.43945545381703549,0.6645695590009137,0.2903938482310942
811,C_330_G7,811,L,11,-1,0.24871922678490935,0.22791685234579778,0.6106987798211234,0.40180861951964941,0.59352511293786137,0.073504445612117275,3184.2984088294643,2.2179468666938713,0.2128996045588703,0.71570901078164628,0.31368786867246468,0.8749876138717958,2.2131532812533066,1.105883753589076,1.1813004167750478,2.187448734907508,0.43945545381703549,0.614552429286842,0.3310026033106833
812,C_330_G7,812,L,12,-1,0.24871922678490935,0.09997577937811962,0.2824414493294041,0.40180861951964941,0.59352511293786137,0.073504445612117275,2061.2031446416117,2.2179468666938713,0.2128996045588703,0.71570901078164628,0.31368786867246468,0.8749876138717958,2.2131532812533066,1.089410955161954,1.1813004167750478,1.7640027066205182,0.43945545381703549,0.4717303066349062,0.31398104590868353
813,C_330_G7,813,L,13,-1,0.24871922678490935,0.19938620970079673,0.576402639220125,0.40180861951964941,0.59352511293786137,0.073504445612117275,2284.4625403387463,2.2179468666938713,0.2128996045588703,0.71570901078164628,0.31368786867246468,0.8749876138717958,2.2131532812533066,1.0615104051019502,1.1813004167750478,1.734792381270989,0.43945545381703549,0.4239863864283073,0.43660439277296
