row_id,condition,cond_row_id,matrix,base_idx,param_j,f_cl_i,f_cl_v,E_m_v,L_hat,gamma_s,E_a0_conv,dH2_abs_conv,loop_net_K_rec,loop_net_w_c,loop_net_chi
21,N330,21,A,20,-1,0.25,0.3,0.67,50.0,2.0,2.25,0.273,0.001,200,60
22,N330,22,A,21,-1,0.25,0.3,0.67,50.0,2.0,2.25,0.273,1e-06,1,1
