row_id,condition,cond_row_id,matrix,base_idx,param_j,theta_id,eta,f_cl_i,f_cl_v,E_m_i,E_m_v,E_m_h,L_hat,gamma_s,E_b_v2,lambda,B_111,E_b_i2,E_b_hV_1,Z_i,Z_i_loop,E_a0_conv,dH2_conv,phi_max_junc,dH2_abs_conv,i_mobile,loop_net_chi,loop_net_w_c,loop_net_K_rec
3000,S330,3000,S,0,-1,0,0.24871922678490935,0.12401708029210567,0.31727442638948561,0.40180861951964941,0.59352511293786137,0.073504445612117275,1016.1241310866882,2.2179468666938713,0.2128996045588703,0.71570901078164628,0.31368786867246468,0.8749876138717958,2.2131532812533066,1.1321071350853888,1.1813004167750478,2.1,0.43945545381703549,0.83310446338728072,0.26,40,50.0,100.0,1e-06
3001,S330,3001,S,1,-1,1,0.24871922678490935,0.05,0.31727442638948561,0.40180861951964941,0.59352511293786137,0.073504445612117275,1016.1241310866882,2.2179468666938713,0.2128996045588703,0.71570901078164628,0.31368786867246468,0.8749876138717958,2.2131532812533066,1.1321071350853888,1.1813004167750478,2.1,0.43945545381703549,0.83310446338728072,0.26,40,50.0,100.0,1e-06
3002,S330,3002,S,2,-1,2,0.24871922678490935,0.12401708029210567,0.31727442638948561,0.40180861951964941,0.59352511293786137,0.073504445612117275,1016.1241310866882,2.2179468666938713,0.2128996045588703,0.71570901078164628,0.31368786867246468,0.6,2.2131532812533066,1.1321071350853888,1.1813004167750478,2.1,0.43945545381703549,0.83310446338728072,0.26,40,50.0,100.0,1e-06
3003,S330,3003,S,3,-1,3,0.24871922678490935,0.12401708029210567,0.31727442638948561,0.40180861951964941,0.59352511293786137,0.073504445612117275,1016.1241310866882,2.2179468666938713,0.2128996045588703,0.71570901078164628,0.31368786867246468,0.8749876138717958,2.2131532812533066,1.1321071350853888,1.1813004167750478,2.1,0.43945545381703549,0.83310446338728072,0.26,100,50.0,100.0,1e-06
3004,S330,3004,S,4,-1,4,0.24871922678490935,0.12401708029210567,0.31727442638948561,0.40180861951964941,0.59352511293786137,0.073504445612117275,1016.1241310866882,2.2179468666938713,0.2128996045588703,0.71570901078164628,0.31368786867246468,0.8749876138717958,2.2131532812533066,1.1321071350853888,1.3,2.1,0.43945545381703549,0.83310446338728072,0.26,40,50.0,100.0,1e-06
3005,S330,3005,S,5,-1,5,0.24871922678490935,0.12401708029210567,0.31727442638948561,0.40180861951964941,0.59352511293786137,0.073504445612117275,100.0,2.2179468666938713,0.2128996045588703,0.71570901078164628,0.31368786867246468,0.8749876138717958,2.2131532812533066,1.1321071350853888,1.1813004167750478,2.1,0.43945545381703549,0.83310446338728072,0.26,40,50.0,100.0,1e-06
3006,S330,3006,S,6,-1,6,0.24871922678490935,0.05,0.31727442638948561,0.40180861951964941,0.59352511293786137,0.073504445612117275,1016.1241310866882,2.2179468666938713,0.2128996045588703,0.71570901078164628,0.31368786867246468,0.6,2.2131532812533066,1.1321071350853888,1.1813004167750478,2.1,0.43945545381703549,0.83310446338728072,0.26,40,50.0,100.0,1e-06
3007,S330,3007,S,7,-1,7,0.24871922678490935,0.05,0.31727442638948561,0.40180861951964941,0.59352511293786137,0.073504445612117275,1016.1241310866882,2.2179468666938713,0.2128996045588703,0.71570901078164628,0.31368786867246468,0.6,2.2131532812533066,1.1321071350853888,1.1813004167750478,2.1,0.43945545381703549,0.83310446338728072,0.26,100,50.0,100.0,1e-06
3008,S330,3008,S,8,-1,8,0.24871922678490935,0.05,0.31727442638948561,0.40180861951964941,0.59352511293786137,0.073504445612117275,1016.1241310866882,2.2179468666938713,0.2128996045588703,0.71570901078164628,0.31368786867246468,0.6,2.2131532812533066,1.1321071350853888,1.3,2.1,0.43945545381703549,0.83310446338728072,0.26,100,50.0,100.0,1e-06
3009,S330,3009,S,9,-1,9,0.24871922678490935,0.05,0.31727442638948561,0.40180861951964941,0.59352511293786137,0.073504445612117275,100.0,2.2179468666938713,0.2128996045588703,0.71570901078164628,0.31368786867246468,0.6,2.2131532812533066,1.1321071350853888,1.3,2.1,0.43945545381703549,0.83310446338728072,0.26,100,50.0,100.0,1e-06
